A/S,Sæthre ved A/S Freia var kontaktutvalgets formann.
ab.prov.,"Etter norsk lov var ab.prov. en straffbar handling, men etter tysk lov var det nærmest på linje med"
aplf.,Dette er tekst før Aplf. og etter forkortelsen.
co.,Hvorfor er ikke Jets AS registrert i Korea som eier av Jets Korea Co. Ltd?
Jf.,hører egentlig ikke hjemme på den rettslige arenaen. Jf. om forskjellen på rettsnormer og etiske normer i kapittel 1
L.,Dette er tekst før L. og etter forkortelsen.
Meld.,Meld. St. 29 (2012-2013) Morgendagens omsorg nyttar nemninga
Mr.,"Det var ikke derfor jeg kom bort, Mr. Charleywood."
Mrs.,"Det var Mrs. Carmel Handy, en lærerinne Loretta ville ha kjent hvis hun ikke hadde droppet ut av"
Ms.,som klaget over at hun ikke fikk møtt Ms. Maples. Fotografer på Times mottakelse før middagen
P.S.,"P.S. Kjære Lien, jeg har ikke den nøyaktige adressen din."
P.s.,"P.s. Kjære Lien, jeg har ikke den nøyaktige adressen din."
Pb.,"University of Oslo, Pb. 1046, Blindern"
R.I.P.,"Hvis du ikke visste det allerede, så betyr R.I.P. «REST IN PEACE». Det pleier å stå det på"
St.,"Han kunne se takene i Jericho, klokketårnet i St. Barnabas, den store, klassiske bygningen til Universitetsforlaget"
St.,Folkehelsemeldinga (Meld. St. 34 (2012-2013)) har som ett av sine mål å
a.D.,"Schola cathedralis hamarensis, a.D. I 153, Hamar Katedralskole"
a.l.,Dette er tekst før a.l. og etter forkortelsen.
a.m.,"It was already 6:00 a.m., and she had not slept a wink"
adm.,"Trykkerettigheter adm. i Norge av Norsk Noteservice,"
adm.dir.,"Etter en vanskelig periode utviste de ansatte ledet av adm.dir. Frithjof Skouverøe, et stå-på-humør og en optimisme"
adr.,"Det skal angis hvilke eiendeler det gjelder, overdragerens navn og adr., det vederlaget som selskapet skal yte,"
adv.,Hvem blir ny statsminister? Ifølge Egede er den konservative adv. Michelets kandidatur fremmet.
aga.,"Av lønn som arbeidsgiver betaler aga. av skal lønnsmottaker betale 8,2 % trygdeavgift."
alt.,Og jeg etterlyser ikke et alt. handlingsforløp. Det gikk som det gikk.
ang.,Kommentar ang. bønnens objekt hos Arnobius: Amobius' beskrivelse av de kristnes bønnepraksis i hans egen samtid
ank.,Åpningstoget ved ank. til Lar-Drammen-Larvik vik stasjon 13. oktober 1881. Det er
apr.,"Organisering av kriminalomsorgen, datert 1. apr. 2014"
aq.,Dette er tekst før aq. og etter forkortelsen.
ass.,"Formann Reiulf Steen 3, ass. overlege Gro Harlem Brundtland"
att.,Dette er tekst før att. og etter forkortelsen.
aug.,"Organisering av kriminalomsorgen, datert 1. aug. 2014"
aut.,Finanstilsynet kan i forskrift fastsette nærmere bestemmelser om og unntak fra kravet om at daglig leder skal være aut. regnskapsfører
avd.,"SINTEF Teknologi og samfunn, avd. Helse og NTNU."
avg.,Tre støt i skipshornet varslet om avg. før landgangen ble skjøvet til side.
avst.,"på det andre, skal skilnaden jamnast ut med avst. i lengda eller på annan måte som jordskifteretten fastset"
B.C.,The Ch’in Unification (221 B.C.) in Chinese Historiography
b.c.,The Ch’in Unification (221 b.c.) in Chinese Historiography
bd.,"Folks Sprog og Historie. Bd. 2 (3), 381—507. Kristiania."
bed.øk.,Hovedfagene var bed.øk. og sos.øk. Hun underviste
bet.,200 bet. avdrag på matvarer (lagring) kr. 500
bill.,"Reiser du uten bill., risikerer du bøter på minst €50. Barn under ti år reiser gratis."
bill.mrk.,en gresk dame hvis fornavn er Sophy. Bill.mrk. X2473.
bl.a.,"i privat og offentlig sektor, og fremhever bl.a. at budsjettet spiller en svært viktig rolle i"
bm.,Dobbeltformer i bm. etter rettskrivinga frå 1938.1: Ny rettskrivning 1938. Bokmål. Regler
bnr.,"28 (Ulenes), Bnr. 21. Dette er beskrevet i kapittel"
bto.,var over 100.000 slik at langt over halvparten av bto. billettinntekter forsvann.
bvl.,"av kommunens oppfyllelse av plikter etter barnevernloven, jf. Bvl. § 2-3b"
c.c.,"Bente 1965 Sotra Vigdis Ådland (l 946-), Haus 235 c.c. Sissel 1971 Haus"
ca.,"Begynn med å ha mandlene i en foodprosessor og la den gå i ca. 30 sekunder, til mandlene er"
cand.,Eingong skulde me få vitjing av reisesekretær cand. teol. Edvard Eriksen. Det var ein vinterdag og det
cand.mag.,Hun er utdannet cand.mag. og er bosatt i Drammen.
co.,"Det Ingvald Haugen & co. frykter, er for sterk militær innflytelse over sivile skip, og at en"
d.,"16.9.1916, d. 1990, gift i 1944"
d.d.,Humoristiske en-sidere skrevet og tegnet av Håkon Aasnes fra 1993 til d.d. Serien startet i medlemsbladet til
